,lat,lon,pttid,time
131,24.7512,139.014,300234063948880,2018-09-25 12:02:00
132,24.7456,139.015,300234063948880,2018-09-25 13:00:00
133,24.7447,139.011,300234063948880,2018-09-25 14:00:00
134,24.7461,139.009,300234063948880,2018-09-25 15:00:00
135,24.7496,139.007,300234063948880,2018-09-25 16:00:00
136,24.753,139.007,300234063948880,2018-09-25 17:00:00
137,24.7568,139.007,300234063948880,2018-09-25 18:00:00
138,24.7589,139.007,300234063948880,2018-09-25 19:00:00
139,24.7605,139.005,300234063948880,2018-09-25 20:00:00
140,24.7634,138.998,300234063948880,2018-09-25 21:00:00
141,24.7699,138.991,300234063948880,2018-09-25 22:00:00
142,24.7778,138.983,300234063948880,2018-09-25 23:00:00
143,24.7855,138.977,300234063948880,2018-09-26 00:01:00
144,24.7935,138.972,300234063948880,2018-09-26 01:00:00
145,24.8083,138.97,300234063948880,2018-09-26 02:01:00
146,24.8266,138.974,300234063948880,2018-09-26 03:00:00
147,24.8405,138.978,300234063948880,2018-09-26 04:01:00
148,24.8542,138.982,300234063948880,2018-09-26 05:01:00
149,24.8651,138.989,300234063948880,2018-09-26 06:00:00
150,24.8743,138.994,300234063948880,2018-09-26 07:00:00
151,24.8827,138.995,300234063948880,2018-09-26 08:01:00
152,24.8884,139.001,300234063948880,2018-09-26 09:00:00
153,24.8958,139.007,300234063948880,2018-09-26 10:00:00
154,24.9012,139.014,300234063948880,2018-09-26 11:00:00
155,24.9062,139.018,300234063948880,2018-09-26 12:00:00
156,24.9112,139.024,300234063948880,2018-09-26 13:00:00
157,24.9144,139.031,300234063948880,2018-09-26 14:00:00
158,24.9184,139.035,300234063948880,2018-09-26 15:01:00
159,24.9238,139.038,300234063948880,2018-09-26 16:00:00
160,24.928,139.043,300234063948880,2018-09-26 17:00:00
161,24.9348,139.043,300234063948880,2018-09-26 18:00:00
162,24.9382,139.043,300234063948880,2018-09-26 19:00:00
163,24.9461,139.044,300234063948880,2018-09-26 20:00:00
164,24.9508,139.041,300234063948880,2018-09-26 21:00:00
165,24.9524,139.035,300234063948880,2018-09-26 22:01:00
166,24.9598,139.029,300234063948880,2018-09-26 23:00:00
167,24.9647,139.025,300234063948880,2018-09-27 00:02:00
168,24.9686,139.02,300234063948880,2018-09-27 01:00:00
169,24.974,139.014,300234063948880,2018-09-27 02:01:00
170,24.9842,139.012,300234063948880,2018-09-27 03:00:00
171,24.9943,139.01,300234063948880,2018-09-27 04:00:00
172,25.0066,139.006,300234063948880,2018-09-27 05:00:00
173,25.0203,139.003,300234063948880,2018-09-27 06:00:00
174,25.034,139.001,300234063948880,2018-09-27 07:00:00
175,25.0494,139.004,300234063948880,2018-09-27 08:00:00
176,25.064,139.004,300234063948880,2018-09-27 09:00:00
177,25.0764,139.003,300234063948880,2018-09-27 10:00:00
178,25.0888,139.005,300234063948880,2018-09-27 11:00:00
179,25.0972,139.007,300234063948880,2018-09-27 12:00:00
180,25.1077,139.01,300234063948880,2018-09-27 13:00:00
181,25.1194,139.018,300234063948880,2018-09-27 14:00:00
182,25.1264,139.024,300234063948880,2018-09-27 15:00:00
183,25.1331,139.028,300234063948880,2018-09-27 16:00:00
184,25.1361,139.029,300234063948880,2018-09-27 17:00:00
185,25.1391,139.026,300234063948880,2018-09-27 18:04:00
186,25.143,139.022,300234063948880,2018-09-27 19:01:00
187,25.1473,139.014,300234063948880,2018-09-27 20:00:00
188,25.1541,139.003,300234063948880,2018-09-27 21:00:00
189,25.1627,138.992,300234063948880,2018-09-27 22:01:00
190,25.171,138.98,300234063948880,2018-09-27 23:00:00
191,25.1838,138.972,300234063948880,2018-09-28 00:00:00
192,25.1982,138.965,300234063948880,2018-09-28 01:03:00
193,25.2139,138.964,300234063948880,2018-09-28 02:00:00
194,25.226,138.964,300234063948880,2018-09-28 03:00:00
195,25.2399,138.964,300234063948880,2018-09-28 04:00:00
196,25.2524,138.963,300234063948880,2018-09-28 05:00:00
197,25.268,138.96,300234063948880,2018-09-28 06:00:00
198,25.2859,138.96,300234063948880,2018-09-28 07:00:00
199,25.3012,138.96,300234063948880,2018-09-28 08:00:00
200,25.3118,138.961,300234063948880,2018-09-28 09:00:00
201,25.3188,138.96,300234063948880,2018-09-28 10:00:00
202,25.3263,138.961,300234063948880,2018-09-28 11:00:00
203,25.3299,138.964,300234063948880,2018-09-28 12:00:00
204,25.3289,138.964,300234063948880,2018-09-28 13:02:00
